Id,Sales,Date,Store
1,4458.078735672456,2015-09-17,1
857,4615.459111670118,2015-09-16,1
1713,4764.617188388729,2015-09-15,1
2569,5024.996109307941,2015-09-14,1
3425,0.0,2015-09-13,1
4281,3990.913175739082,2015-09-12,1
5137,3688.5927123726487,2015-09-11,1
5993,3341.6841499239335,2015-09-10,1
6849,3411.0870852719586,2015-09-09,1
7705,3514.876890424146,2015-09-08,1
8561,3937.6626402010274,2015-09-07,1
9417,0.0,2015-09-06,1
10273,4456.613557740152,2015-09-05,1
11129,4764.282001924159,2015-09-04,1
11985,5083.409213239117,2015-09-03,1
12841,5234.846094648239,2015-09-02,1
13697,5271.440604525912,2015-09-01,1
14553,6083.8868524754225,2015-08-31,1
15409,0.0,2015-08-30,1
16265,4581.5910210579605,2015-08-29,1
17121,3896.490256759428,2015-08-28,1
17977,3407.4665758369265,2015-08-27,1
18833,3434.207008230745,2015-08-26,1
19689,3461.736486192194,2015-08-25,1
20545,3492.7236855779247,2015-08-24,1
21401,0.0,2015-08-23,1
22257,4312.995178636571,2015-08-22,1
23113,4238.252814306924,2015-08-21,1
23969,4219.63108474418,2015-08-20,1
24825,4438.119570491451,2015-08-19,1
25681,4970.267680179546,2015-08-18,1
26537,5693.329545431012,2015-08-17,1
27393,0.0,2015-08-16,1
28249,4312.849943940673,2015-08-15,1
29105,3730.541842060169,2015-08-14,1
29961,3570.876479272637,2015-08-13,1
30817,3569.6765523208996,2015-08-12,1
31673,3438.5785286698524,2015-08-11,1
32529,3825.7106038876836,2015-08-10,1
33385,0.0,2015-08-09,1
34241,4188.557375363155,2015-08-08,1
35097,4619.442701356433,2015-08-07,1
35953,4436.827889490013,2015-08-06,1
36809,4533.324702906999,2015-08-05,1
37665,5185.086296228012,2015-08-04,1
38521,5765.408997703197,2015-08-03,1
39377,0.0,2015-08-02,1
40233,5677.058495056018,2015-08-01,1
2,7785.74337667032,2015-09-17,3
858,8286.540876631803,2015-09-16,3
1714,8579.171538002449,2015-09-15,3
2570,9640.174666275489,2015-09-14,3
3426,0.0,2015-09-13,3
4282,3834.7623572155444,2015-09-12,3
5138,5686.616476590521,2015-09-11,3
5994,5653.986743528386,2015-09-10,3
6850,6103.785047408669,2015-09-09,3
7706,6222.255985650345,2015-09-08,3
8562,6155.302223356893,2015-09-07,3
9418,0.0,2015-09-06,3
10274,4322.212373790452,2015-09-05,3
11130,7538.441311909608,2015-09-04,3
11986,7937.152470465954,2015-09-03,3
12842,8416.922058850323,2015-09-02,3
13698,8858.078776571718,2015-09-01,3
14554,14890.189494007265,2015-08-31,3
15410,0.0,2015-08-30,3
16266,4201.736345114336,2015-08-29,3
17122,6445.501794399365,2015-08-28,3
17978,5182.105266729293,2015-08-27,3
18834,5487.925952922245,2015-08-26,3
19690,5517.605407150213,2015-08-25,3
20546,5435.822281598746,2015-08-24,3
21402,0.0,2015-08-23,3
22258,3770.2374789827118,2015-08-22,3
23114,7509.555107172124,2015-08-21,3
23970,7500.359873122395,2015-08-20,3
24826,8334.609938593696,2015-08-19,3
25682,8677.006587463751,2015-08-18,3
26538,9734.664602875944,2015-08-17,3
27394,0.0,2015-08-16,3
28250,3739.9271538701587,2015-08-15,3
29106,5726.103697053549,2015-08-14,3
29962,5867.960996785945,2015-08-13,3
30818,5842.4930132925365,2015-08-12,3
31674,5836.15109837205,2015-08-11,3
32530,6153.098968335635,2015-08-10,3
33386,0.0,2015-08-09,3
34242,3751.6543223844,2015-08-08,3
35098,7515.464522519403,2015-08-07,3
35954,7604.187916413624,2015-08-06,3
36810,8250.948790768727,2015-08-05,3
37666,8633.294439338235,2015-08-04,3
38522,10010.548597366284,2015-08-03,3
39378,0.0,2015-08-02,3
40234,4889.4163406367525,2015-08-01,3
3,9476.575555533074,2015-09-17,7
859,9491.802984633254,2015-09-16,7
1715,11568.392824704497,2015-09-15,7
2571,12323.897061222637,2015-09-14,7
3427,0.0,2015-09-13,7
4283,6227.702718416282,2015-09-12,7
5139,8311.262262724542,2015-09-11,7
5995,8906.259073466716,2015-09-10,7
6851,9069.20400246779,2015-09-09,7
7707,9223.211919519048,2015-09-08,7
8563,9780.149691538953,2015-09-07,7
9419,0.0,2015-09-06,7
10275,7034.217659752474,2015-09-05,7
11131,10123.762735989032,2015-09-04,7
11987,10743.841733458563,2015-09-03,7
12843,10385.107758488672,2015-09-02,7
13699,11247.088299037281,2015-09-01,7
14555,13329.418801580941,2015-08-31,7
15411,0.0,2015-08-30,7
16267,6915.600730118709,2015-08-29,7
17123,9068.345924225607,2015-08-28,7
17979,8263.756958923166,2015-08-27,7
18835,8145.741832467066,2015-08-26,7
19691,8926.607046539782,2015-08-25,7
20547,9521.720866618449,2015-08-24,7
21403,0.0,2015-08-23,7
22259,6387.087768600675,2015-08-22,7
23115,9850.311725455482,2015-08-21,7
23971,9977.148729421388,2015-08-20,7
24827,9725.734227278288,2015-08-19,7
25683,11587.522489141003,2015-08-18,7
26539,14265.76236463455,2015-08-17,7
27395,0.0,2015-08-16,7
28251,7026.254012779127,2015-08-15,7
29107,9645.538776521716,2015-08-14,7
29963,9349.490373253253,2015-08-13,7
30819,8877.401857584491,2015-08-12,7
31675,9785.018628729551,2015-08-11,7
32531,10276.169726802229,2015-08-10,7
33387,0.0,2015-08-09,7
34243,7575.400323423867,2015-08-08,7
35099,10379.312385291225,2015-08-07,7
35955,10713.893322070744,2015-08-06,7
36811,9963.17213185762,2015-08-05,7
37667,12649.993367450606,2015-08-04,7
38523,14073.798099017122,2015-08-03,7
39379,0.0,2015-08-02,7
40235,8069.964583337088,2015-08-01,7
4,7740.196315662843,2015-09-17,8
860,7520.247127425124,2015-09-16,8
1716,7872.3694256051185,2015-09-15,8
2572,9564.887974358047,2015-09-14,8
3428,0.0,2015-09-13,8
4284,3473.4920903262673,2015-09-12,8
5140,5410.0241155927815,2015-09-11,8
5996,5691.880601924102,2015-09-10,8
6852,5160.202910216763,2015-09-09,8
7708,5600.329895951364,2015-09-08,8
8564,6139.63683635283,2015-09-07,8
9420,0.0,2015-09-06,8
10276,3573.7444403349723,2015-09-05,8
11132,6416.040838667773,2015-09-04,8
11988,8051.095559225545,2015-09-03,8
12844,8145.164948787703,2015-09-02,8
13700,8020.310148520128,2015-09-01,8
14556,9432.681241030927,2015-08-31,8
15412,0.0,2015-08-30,8
16268,3459.193511646361,2015-08-29,8
17124,5624.2253244763615,2015-08-28,8
17980,5832.711196698776,2015-08-27,8
18836,5784.363099627553,2015-08-26,8
19692,5405.37335051612,2015-08-25,8
20548,5411.01249684267,2015-08-24,8
21404,0.0,2015-08-23,8
22260,3278.723116016244,2015-08-22,8
23116,6271.603329818152,2015-08-21,8
23972,7344.889711140608,2015-08-20,8
24828,7053.2097100399205,2015-08-19,8
25684,7328.247516828563,2015-08-18,8
26540,9198.96073538855,2015-08-17,8
27396,0.0,2015-08-16,8
28252,3448.876293885064,2015-08-15,8
29108,5461.110631077221,2015-08-14,8
29964,5799.146695915402,2015-08-13,8
30820,5355.178831487925,2015-08-12,8
31676,5388.26041991361,2015-08-11,8
32532,5474.047256362504,2015-08-10,8
33388,0.0,2015-08-09,8
34244,3529.2182880436812,2015-08-08,8
35100,6519.537932224962,2015-08-07,8
35956,7602.285851522738,2015-08-06,8
36812,7262.506304272762,2015-08-05,8
37668,7523.253304398284,2015-08-04,8
38524,9640.095448898617,2015-08-03,8
39380,0.0,2015-08-02,8
40236,3552.6235094645567,2015-08-01,8
5,7125.411184999459,2015-09-17,9
861,7203.453634705758,2015-09-16,9
1717,8454.115370728528,2015-09-15,9
2573,10833.188711318284,2015-09-14,9
3429,0.0,2015-09-13,9
4285,5563.206465707404,2015-09-12,9
5141,5852.103164884113,2015-09-11,9
5997,6145.935372433203,2015-09-10,9
6853,6034.362056220113,2015-09-09,9
7709,6150.678108740945,2015-09-08,9
8565,7217.589831302308,2015-09-07,9
9421,0.0,2015-09-06,9
10277,6051.916424388258,2015-09-05,9
11133,7350.681503773661,2015-09-04,9
11989,7265.567437864887,2015-09-03,9
12845,7736.830107097627,2015-09-02,9
13701,7904.275410278971,2015-09-01,9
14557,11972.302440946387,2015-08-31,9
15413,0.0,2015-08-30,9
16269,5765.827141470487,2015-08-29,9
17125,5849.49013123708,2015-08-28,9
17981,6038.4366767889505,2015-08-27,9
18837,5859.14066382606,2015-08-26,9
19693,5739.810902859788,2015-08-25,9
20549,6081.736555384956,2015-08-24,9
21405,0.0,2015-08-23,9
22261,5481.7614111618095,2015-08-22,9
23117,7248.3192544456915,2015-08-21,9
23973,7448.540545211468,2015-08-20,9
24829,7407.451181006592,2015-08-19,9
25685,8699.608683955821,2015-08-18,9
26541,10968.114425862172,2015-08-17,9
27397,0.0,2015-08-16,9
28253,5712.143761771819,2015-08-15,9
29109,5846.896559530249,2015-08-14,9
29965,6192.7470994112155,2015-08-13,9
30821,5817.941408897494,2015-08-12,9
31677,5860.547052485498,2015-08-11,9
32533,6426.601792912781,2015-08-10,9
33389,0.0,2015-08-09,9
34245,5732.756555429744,2015-08-08,9
35101,7123.768611044439,2015-08-07,9
35957,7139.041112623314,2015-08-06,9
36813,7176.16866584278,2015-08-05,9
37669,8600.375887257296,2015-08-04,9
38525,10956.900660453037,2015-08-03,9
39381,0.0,2015-08-02,9
40237,6250.032674765313,2015-08-01,9
6,5625.571365722363,2015-09-17,10
862,5889.47362421334,2015-09-16,10
1718,6845.398951482595,2015-09-15,10
2574,7158.011639212248,2015-09-14,10
3430,0.0,2015-09-13,10
4286,4799.070729422446,2015-09-12,10
5142,5748.098224857472,2015-09-11,10
5998,5522.643722220488,2015-09-10,10
6854,5554.888936388973,2015-09-09,10
7710,5801.956217984023,2015-09-08,10
8566,5801.250490238019,2015-09-07,10
9422,0.0,2015-09-06,10
10278,5234.283598176698,2015-09-05,10
11134,5990.554097818677,2015-09-04,10
11990,6129.5529115285135,2015-09-03,10
12846,6027.253067826166,2015-09-02,10
13702,6297.494277229331,2015-09-01,10
14558,7378.380577741619,2015-08-31,10
15414,0.0,2015-08-30,10
16270,4695.858356435666,2015-08-29,10
17126,6098.051924315773,2015-08-28,10
17982,6023.383333737315,2015-08-27,10
18838,5894.204211792814,2015-08-26,10
19694,5883.331155713078,2015-08-25,10
20550,5532.659759116526,2015-08-24,10
21406,0.0,2015-08-23,10
22262,4691.593851486388,2015-08-22,10
23118,5390.819135559511,2015-08-21,10
23974,5349.918375216826,2015-08-20,10
24830,5324.186596888108,2015-08-19,10
25686,5965.985813100739,2015-08-18,10
26542,6859.674183027283,2015-08-17,10
27398,0.0,2015-08-16,10
28254,4860.397397476795,2015-08-15,10
29110,6329.28760666087,2015-08-14,10
29966,5912.459868341111,2015-08-13,10
30822,5928.064001489182,2015-08-12,10
31678,6078.165264708806,2015-08-11,10
32534,6082.4761468495835,2015-08-10,10
33390,0.0,2015-08-09,10
34246,5010.356274221192,2015-08-08,10
35102,5631.459245598529,2015-08-07,10
35958,5650.599093598296,2015-08-06,10
36814,5590.998088506702,2015-08-05,10
37670,6269.605576100766,2015-08-04,10
38526,7152.256733857195,2015-08-03,10
39382,0.0,2015-08-02,10
40238,5801.696309021618,2015-08-01,10
7,7735.459824944361,2015-09-17,11
863,8513.472472141482,2015-09-16,11
1719,9309.614156747568,2015-09-15,11
2575,9375.78343068359,2015-09-14,11
3431,0.0,2015-09-13,11
4287,5668.506957870625,2015-09-12,11
5143,6704.971559346886,2015-09-11,11
5999,6923.511682940204,2015-09-10,11
6855,7183.596493213207,2015-09-09,11
7711,6862.328145727344,2015-09-08,11
8567,7151.743045890961,2015-09-07,11
9423,0.0,2015-09-06,11
10279,5754.348785483475,2015-09-05,11
11135,7561.049004660698,2015-09-04,11
11991,8004.476638274777,2015-09-03,11
12847,9051.760516216775,2015-09-02,11
13703,9118.682917194039,2015-09-01,11
14559,11536.549948783135,2015-08-31,11
15415,0.0,2015-08-30,11
16271,6465.308516839073,2015-08-29,11
17127,7506.842256910181,2015-08-28,11
17983,6929.254720972245,2015-08-27,11
18839,7293.634735333284,2015-08-26,11
19695,7104.883223934708,2015-08-25,11
20551,7532.47686861545,2015-08-24,11
21407,0.0,2015-08-23,11
22263,5591.183642276244,2015-08-22,11
23119,7630.126111232133,2015-08-21,11
23975,7760.809627308159,2015-08-20,11
24831,8460.823290704364,2015-08-19,11
25687,8476.967691136748,2015-08-18,11
26543,9639.488817912195,2015-08-17,11
27399,0.0,2015-08-16,11
28255,5559.122985184153,2015-08-15,11
29111,7016.17797018514,2015-08-14,11
29967,7197.643340704555,2015-08-13,11
30823,7099.173971681893,2015-08-12,11
31679,6988.430366993981,2015-08-11,11
32535,7397.904223912975,2015-08-10,11
33391,0.0,2015-08-09,11
34247,5436.3447605755355,2015-08-08,11
35103,7883.401684842834,2015-08-07,11
35959,7926.5016471813515,2015-08-06,11
36815,8653.602670255534,2015-08-05,11
