Id,Sales,Date
1,7844.7009663883255,2015-09-17
857,8061.061215425657,2015-09-16
1713,8283.38801322186,2015-09-15
2569,8511.845898800397,2015-09-14
3425,0.06187851907243259,2015-09-13
4281,5593.768853073644,2015-09-12
5137,5561.880336635644,2015-09-11
5993,5715.287429278562,2015-09-10
6849,5872.92501667402,2015-09-09
7705,6034.909762827203,2015-09-08
8561,6201.361548976953,2015-09-07
9417,0.06490696462336575,2015-09-06
10273,5609.7249653193185,2015-09-05
11129,7834.869770768197,2015-09-04
11985,8050.958905734035,2015-09-03
12841,8273.007112968338,2015-09-02
13697,8501.178725316006,2015-09-01
14553,8549.306534330315,2015-08-31
15409,0.06655129767701505,2015-08-30
16265,5618.3885395299385,2015-08-29
17121,5586.359698210451,2015-08-28
17977,5740.441856190333,2015-08-27
18833,5898.773125143925,2015-08-26
19689,6061.47068245441,2015-08-25
20545,6228.654936896008,2015-08-24
21401,0.069593069851777,2015-08-23
22257,5634.414866379802,2015-08-22
23113,7711.549917424541,2015-08-21
23969,7924.238270956702,2015-08-20
24825,8142.791913687966,2015-08-19
25681,8367.372592215259,2015-08-18
26537,8598.146513608079,2015-08-17
27393,0.07264351706915838,2015-08-16
28249,5650.486899831094,2015-08-15
29105,5618.275107416231,2015-08-14
29961,5773.2373940058405,2015-08-13
30817,5932.473062803297,2015-08-12
31673,6096.099960517623,2015-08-11
32529,6264.239183706798,2015-08-10
33385,0.07570266407011943,2015-08-09
34241,5666.604770237684,2015-08-08
35097,7755.604569340623,2015-08-07
35953,7969.507814378419,2015-08-06
36809,8189.3098515782585,2015-08-05
37665,8415.173351445514,2015-08-04
38521,8647.26547043668,2015-08-03
39377,0.07877053566618086,2015-08-02
40233,5682.7686083251765,2015-08-01
2,6832.14997667979,2015-09-17
858,7020.587190511615,2015-09-16
1714,7214.220921861404,2015-09-15
2570,7413.194474664541,2015-09-14
3426,-0.07516546846205172,2015-09-13
4282,4871.718807623346,2015-09-12
5138,4843.945761430511,2015-09-11
5994,4977.554431453275,2015-09-10
6850,5114.8476167594345,2015-09-09
7706,5255.92692492336,2015-09-08
